# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.156599074602127075e-02 3.350733965635299683e-02 3.027194179594516754e-03 4.665045533329248428e-03 1.042344514280557632e-02 1.121178030967712402e+00 1.121178030967712402e+00 9.976293891668319702e-03 3.522006049752235413e-02 2.395499497652053833e-03 4.665045533329248428e-03 1.042344514280557632e-02 1.121178030967712402e+00 1.121178030967712402e+00
1.000000000000000000e+03 5.748170427978038788e-03 1.100812759250402451e-02 7.098024711012840271e-03 1.343261301517486572e-01 1.157355308532714844e-02 5.840373225510120392e-03 5.840373225510120392e-03 4.726410377770662308e-03 7.928124628961086273e-03 4.607821814715862274e-03 1.343261301517486572e-01 1.157355308532714844e-02 5.840373225510120392e-03 5.840373225510120392e-03
2.000000000000000000e+03 3.752023912966251373e-03 1.112907286733388901e-02 3.003691090270876884e-03 8.302363008260726929e-02 1.203125622123479843e-02 3.099184716120362282e-03 3.099184716120362282e-03 2.311068354174494743e-03 4.218525718897581100e-03 9.780727559700608253e-04 8.302363008260726929e-02 1.203125622123479843e-02 3.099184716120362282e-03 3.099184716120362282e-03
3.000000000000000000e+03 1.477034529671072960e-03 1.402283785864710808e-03 2.424060367047786713e-03 7.162285596132278442e-02 1.219570729881525040e-02 2.462437376379966736e-03 2.462437376379966736e-03 9.492461103945970535e-04 1.039749477058649063e-03 1.226768130436539650e-03 7.162285596132278442e-02 1.219570729881525040e-02 2.462437376379966736e-03 2.462437376379966736e-03
4.000000000000000000e+03 4.415245261043310165e-03 6.066772155463695526e-03 2.478154376149177551e-03 6.618242710828781128e-02 1.183604821562767029e-02 2.000608248636126518e-03 2.000608248636126518e-03 2.508902689442038536e-03 1.786789740435779095e-03 1.057540765032172203e-03 6.618242710828781128e-02 1.183604821562767029e-02 2.000608248636126518e-03 2.000608248636126518e-03
5.000000000000000000e+03 1.421351078897714615e-02 4.992220178246498108e-02 1.940010930411517620e-03 6.112820282578468323e-02 1.125104352831840515e-02 3.315249923616647720e-03 3.315249923616647720e-03 5.208993330597877502e-03 7.557697128504514694e-03 1.121842069551348686e-03 6.112820282578468323e-02 1.125104352831840515e-02 3.315249923616647720e-03 3.315249923616647720e-03
6.000000000000000000e+03 1.394792553037405014e-02 7.763021625578403473e-03 1.605657162144780159e-03 5.978516116738319397e-02 1.103349216282367706e-02 2.561390865594148636e-03 2.561390865594148636e-03 3.998738247901201248e-03 2.010518452152609825e-03 9.781116386875510216e-04 5.978516116738319397e-02 1.103349216282367706e-02 2.561390865594148636e-03 2.561390865594148636e-03
7.000000000000000000e+03 2.102928236126899719e-02 1.251925062388181686e-02 1.637011650018393993e-03 5.778555199503898621e-02 1.071140728890895844e-02 2.871517557650804520e-03 2.871517557650804520e-03 5.794770549982786179e-03 1.868357649073004723e-03 1.021072734147310257e-03 5.778555199503898621e-02 1.071140728890895844e-02 2.871517557650804520e-03 2.871517557650804520e-03
8.000000000000000000e+03 1.945715397596359253e-02 3.745137155055999756e-02 1.908319187350571156e-03 5.467526242136955261e-02 8.839011192321777344e-03 7.783935870975255966e-03 7.783935870975255966e-03 1.115368586033582687e-02 1.399737223982810974e-02 1.184812863357365131e-03 5.467526242136955261e-02 8.839011192321777344e-03 7.783935870975255966e-03 7.783935870975255966e-03
9.000000000000000000e+03 4.267677664756774902e-03 3.479635808616876602e-03 1.716594793833792210e-03 5.651038885116577148e-02 1.103238109499216080e-02 1.390262390486896038e-03 1.390262390486896038e-03 1.358950976282358170e-03 1.102700247429311275e-03 9.085645433515310287e-04 5.651038885116577148e-02 1.103238109499216080e-02 1.390262390486896038e-03 1.390262390486896038e-03
1.000000000000000000e+04 9.049705113284289837e-04 1.164218061603605747e-03 1.365820178762078285e-03 5.628911033272743225e-02 1.031609252095222473e-02 1.465240493416786194e-03 1.465240493416786194e-03 5.895825452171266079e-04 5.330670392140746117e-04 8.023834088817238808e-04 5.628911033272743225e-02 1.031609252095222473e-02 1.465240493416786194e-03 1.465240493416786194e-03
1.000000000000000000e+04 9.049705113284289837e-04 1.164218061603605747e-03 1.365820178762078285e-03 5.628911033272743225e-02 1.031609252095222473e-02 1.465240493416786194e-03 1.465240493416786194e-03 5.895825452171266079e-04 5.330670392140746117e-04 8.023834088817238808e-04 5.628911033272743225e-02 1.031609252095222473e-02 1.465240493416786194e-03 1.465240493416786194e-03
1.100000000000000000e+04 2.213881118223071098e-03 1.925396267324686050e-03 8.152365917339920998e-04 2.228979393839836121e-02 7.953905500471591949e-03 3.347982710693031549e-04 3.347982710693031549e-04 2.283861394971609116e-03 4.099834244698286057e-03 5.543124279938638210e-04 2.228979393839836121e-02 7.953905500471591949e-03 3.347982710693031549e-04 3.347982710693031549e-04
1.200000000000000000e+04 1.714977668598294258e-03 1.500028884038329124e-03 6.598676554858684540e-04 1.494727469980716705e-02 6.889603566378355026e-03 1.504118699813261628e-04 1.504118699813261628e-04 2.609516261145472527e-03 2.794287167489528656e-03 5.744820227846503258e-04 1.494727469980716705e-02 6.889603566378355026e-03 1.504118699813261628e-04 1.504118699813261628e-04
1.300000000000000000e+04 1.222058665007352829e-03 1.489674672484397888e-03 4.590239259414374828e-04 1.237644627690315247e-02 6.044693756848573685e-03 1.241591235157102346e-04 1.241591235157102346e-04 2.187434351071715355e-03 1.728620147332549095e-03 4.627329763025045395e-04 1.237644627690315247e-02 6.044693756848573685e-03 1.241591235157102346e-04 1.241591235157102346e-04
