# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.135991588234901428e-01 2.260873794555664062e+00 4.965017437934875488e-01 1.079687103629112244e-01 2.260873794555664062e+00 4.965017437934875488e-01
1.000000000000000000e+03 7.949574850499629974e-03 6.862986087799072266e-02 1.775449365377426147e-01 5.966329015791416168e-03 6.862986087799072266e-02 1.775449365377426147e-01
2.000000000000000000e+03 1.028442848473787308e-02 4.449271783232688904e-02 5.471954494714736938e-02 5.298585165292024612e-03 4.449271783232688904e-02 5.471954494714736938e-02
3.000000000000000000e+03 4.021883010864257812e-03 2.999605797231197357e-02 2.229364030063152313e-02 2.009224612265825272e-03 2.999605797231197357e-02 2.229364030063152313e-02
4.000000000000000000e+03 3.335853340104222298e-03 2.398613467812538147e-02 1.493751443922519684e-02 1.847434672527015209e-03 2.398613467812538147e-02 1.493751443922519684e-02
5.000000000000000000e+03 5.562730599194765091e-03 2.304838970303535461e-02 1.008182484656572342e-02 3.662656759843230247e-03 2.304838970303535461e-02 1.008182484656572342e-02
6.000000000000000000e+03 2.253615064546465874e-03 1.932737603783607483e-02 9.695869870483875275e-03 1.332161598838865757e-03 1.932737603783607483e-02 9.695869870483875275e-03
7.000000000000000000e+03 2.040445804595947266e-03 1.829306408762931824e-02 8.793015033006668091e-03 1.246453961357474327e-03 1.829306408762931824e-02 8.793015033006668091e-03
8.000000000000000000e+03 1.857526716776192188e-03 1.774373464286327362e-02 8.049040101468563080e-03 1.124961650930345058e-03 1.774373464286327362e-02 8.049040101468563080e-03
9.000000000000000000e+03 1.688552205450832844e-03 1.687475107610225677e-02 7.829112932085990906e-03 1.037491369061172009e-03 1.687475107610225677e-02 7.829112932085990906e-03
1.000000000000000000e+04 3.988150041550397873e-03 1.543276943266391754e-02 8.829783648252487183e-03 2.232524566352367401e-03 1.543276943266391754e-02 8.829783648252487183e-03
1.100000000000000000e+04 1.516953110694885254e-03 1.575978659093379974e-02 7.216266822069883347e-03 9.438301203772425652e-04 1.575978659093379974e-02 7.216266822069883347e-03
1.200000000000000000e+04 1.433530473150312901e-03 1.526775863021612167e-02 6.989632733166217804e-03 8.797037880867719650e-04 1.526775863021612167e-02 6.989632733166217804e-03
1.300000000000000000e+04 1.357532222755253315e-03 1.480093784630298615e-02 6.794919725507497787e-03 8.137594559229910374e-04 1.480093784630298615e-02 6.794919725507497787e-03
1.400000000000000000e+04 1.289865816943347454e-03 1.433212310075759888e-02 6.643944885581731796e-03 7.514692842960357666e-04 1.433212310075759888e-02 6.643944885581731796e-03
1.500000000000000000e+04 1.228591776452958584e-03 1.392060704529285431e-02 6.483029108494520187e-03 6.976926233619451523e-04 1.392060704529285431e-02 6.483029108494520187e-03
1.500000000000000000e+04 1.228591776452958584e-03 1.392060704529285431e-02 6.483029108494520187e-03 6.976926233619451523e-04 1.392060704529285431e-02 6.483029108494520187e-03
